epoch 45 | loss: 2166.21948| train_rmsle: 1.33453 | train_mae: 43.641  | train_rmse: 44.9664 | train_mse: 2021.97716| valid_rmsle: 1.27684 | valid_mae: 42.74207| valid_rmse: 43.90993| valid_mse: 1928.08204|  0:00:05s
epoch 46 | loss: 2135.8418| train_rmsle: 1.32242 | train_mae: 43.56634| train_rmse: 44.87632| train_mse: 2013.88371| valid_rmsle: 1.24377 | valid_mae: 42.47515| valid_rmse: 43.59377| valid_mse: 1900.41658|  0:00:05s
epoch 47 | loss: 2068.34009| train_rmsle: 1.28244 | train_mae: 43.00027| train_rmse: 44.30289| train_mse: 1962.74601| valid_rmsle: 1.17669 | valid_mae: 41.45561| valid_rmse: 42.58429| valid_mse: 1813.42205|  0:00:05s
epoch 48 | loss: 1982.00513| train_rmsle: 1.26035 | train_mae: 42.75286| train_rmse: 44.03007| train_mse: 1938.64693| valid_rmsle: 1.14423 | valid_mae: 40.95628| valid_rmse: 42.09744| valid_mse: 1772.19449|  0:00:05s
epoch 49 | loss: 1933.2804| train_rmsle: 1.21793 | train_mae: 42.0967 | train_rmse: 43.35991| train_mse: 1880.08176| valid_rmsle: 1.10915 | valid_mae: 40.32552| valid_rmse: 41.44117| valid_mse: 1717.37076|  0:00:05s
epoch 50 | loss: 1852.82166| train_rmsle: 1.1973  | train_mae: 41.83979| train_rmse: 43.0665 | train_mse: 1854.72311| valid_rmsle: 1.10247 | valid_mae: 40.25357| valid_rmse: 41.35215| valid_mse: 1710.00023|  0:00:05s
epoch 51 | loss: 1835.52612| train_rmsle: 1.16915 | train_mae: 41.41633| train_rmse: 42.62878| train_mse: 1817.21323| valid_rmsle: 1.10139 | valid_mae: 40.27729| valid_rmse: 41.38045| valid_mse: 1712.34176|  0:00:05s
epoch 52 | loss: 1779.25342| train_rmsle: 1.12395 | train_mae: 40.63676| train_rmse: 41.83026| train_mse: 1749.77038| valid_rmsle: 1.06776 | valid_mae: 39.70417| valid_rmse: 40.77657| valid_mse: 1662.72832|  0:00:05s
epoch 53 | loss: 1686.10168| train_rmsle: 1.09948 | train_mae: 40.26734| train_rmse: 41.44157| train_mse: 1717.4036| valid_rmsle: 1.05523 | valid_mae: 39.59073| valid_rmse: 40.64918| valid_mse: 1652.3557|  0:00:06s
epoch 54 | loss: 1651.12781| train_rmsle: 1.05238 | train_mae: 39.45211| train_rmse: 40.59232| train_mse: 1647.73656| valid_rmsle: 1.03253 | valid_mae: 39.18986| valid_rmse: 40.25648| valid_mse: 1620.58432|  0:00:06s
epoch 55 | loss: 1572.62817| train_rmsle: 1.01129 | train_mae: 38.67182| train_rmse: 39.80365| train_mse: 1584.33054| valid_rmsle: 1.00781 | valid_mae: 38.70055| valid_rmse: 39.78625| valid_mse: 1582.94549|  0:00:06s
epoch 56 | loss: 1489.12158| train_rmsle: 0.97718 | train_mae: 38.00452| train_rmse: 39.12398| train_mse: 1530.68556| valid_rmsle: 0.98149 | valid_mae: 38.23901| valid_rmse: 39.32136| valid_mse: 1546.16899|  0:00:06s
epoch 57 | loss: 1433.41724| train_rmsle: 0.93056 | train_mae: 37.08726| train_rmse: 38.16134| train_mse: 1456.28769| valid_rmsle: 0.93565 | valid_mae: 37.34881| valid_rmse: 38.38593| valid_mse: 1473.47927|  0:00:06s
epoch 58 | loss: 1410.00098| train_rmsle: 0.89173 | train_mae: 36.28901| train_rmse: 37.32183| train_mse: 1392.91873| valid_rmsle: 0.89826 | valid_mae: 36.57171| valid_rmse: 37.55294| valid_mse: 1410.22353|  0:00:06s
epoch 59 | loss: 1327.36462| train_rmsle: 0.86044 | train_mae: 35.58554| train_rmse: 36.58898| train_mse: 1338.75358| valid_rmsle: 0.86466 | valid_mae: 35.82198| valid_rmse: 36.7684 | valid_mse: 1351.91519|  0:00:06s
epoch 60 | loss: 1260.30762| train_rmsle: 0.82693 | train_mae: 34.77494| train_rmse: 35.76897| train_mse: 1279.41926| valid_rmsle: 0.83606 | valid_mae: 35.10881| valid_rmse: 36.01405| valid_mse: 1297.01147|  0:00:06s
epoch 61 | loss: 1186.50977| train_rmsle: 0.79559 | train_mae: 33.97897| train_rmse: 34.97311| train_mse: 1223.11847| valid_rmsle: 0.80388 | valid_mae: 34.27063| valid_rmse: 35.15076| valid_mse: 1235.5756|  0:00:07s
epoch 62 | loss: 1129.27148| train_rmsle: 0.77061 | train_mae: 33.30589| train_rmse: 34.29451| train_mse: 1176.11362| valid_rmsle: 0.77423 | valid_mae: 33.45094| valid_rmse: 34.32498| valid_mse: 1178.20453|  0:00:07s
epoch 63 | loss: 1092.36011| train_rmsle: 0.74941 | train_mae: 32.69868| train_rmse: 33.69952| train_mse: 1135.65779| valid_rmsle: 0.75097 | valid_mae: 32.77155| valid_rmse: 33.66373| valid_mse: 1133.24683|  0:00:07s
epoch 64 | loss: 1032.02332| train_rmsle: 0.72967 | train_mae: 32.10673| train_rmse: 33.11671| train_mse: 1096.71652| valid_rmsle: 0.73002 | valid_mae: 32.0924 | valid_rmse: 33.02247| valid_mse: 1090.48365|  0:00:07s
epoch 65 | loss: 972.31403| train_rmsle: 0.70676 | train_mae: 31.40416| train_rmse: 32.42173| train_mse: 1051.1688| valid_rmsle: 0.70375 | valid_mae: 31.28411| valid_rmse: 32.23367| valid_mse: 1039.00921|  0:00:07s
epoch 66 | loss: 894.83087| train_rmsle: 0.68397 | train_mae: 30.68019| train_rmse: 31.72184| train_mse: 1006.27488| valid_rmsle: 0.68376 | valid_mae: 30.67782| valid_rmse: 31.61411| valid_mse: 999.45205|  0:00:07s
epoch 67 | loss: 845.58344| train_rmsle: 0.66462 | train_mae: 30.04049| train_rmse: 31.10215| train_mse: 967.34398| valid_rmsle: 0.65979 | valid_mae: 29.907  | valid_rmse: 30.87449| valid_mse: 953.23426|  0:00:07s
epoch 68 | loss: 779.08234| train_rmsle: 0.64113 | train_mae: 29.27311| train_rmse: 30.35138| train_mse: 921.20621| valid_rmsle: 0.63767 | valid_mae: 29.18871| valid_rmse: 30.12473| valid_mse: 907.49963|  0:00:07s
epoch 69 | loss: 725.64044| train_rmsle: 0.62282 | train_mae: 28.64019| train_rmse: 29.72609| train_mse: 883.64016| valid_rmsle: 0.6158  | valid_mae: 28.4157 | valid_rmse: 29.32871| valid_mse: 860.17329|  0:00:08s
epoch 70 | loss: 679.32361| train_rmsle: 0.60157 | train_mae: 27.88882| train_rmse: 28.9998 | train_mse: 840.98856| valid_rmsle: 0.58703 | valid_mae: 27.39028| valid_rmse: 28.36911| valid_mse: 804.80637|  0:00:08s
epoch 71 | loss: 638.08887| train_rmsle: 0.57925 | train_mae: 27.08132| train_rmse: 28.19838| train_mse: 795.14854| valid_rmsle: 0.56375 | valid_mae: 26.45743| valid_rmse: 27.5114 | valid_mse: 756.87706|  0:00:08s
epoch 72 | loss: 572.5647| train_rmsle: 0.55562 | train_mae: 26.22356| train_rmse: 27.32979| train_mse: 746.91756| valid_rmsle: 0.53227 | valid_mae: 25.28922| valid_rmse: 26.38184| valid_mse: 696.00169|  0:00:08s
epoch 73 | loss: 516.13275| train_rmsle: 0.53197 | train_mae: 25.31722| train_rmse: 26.44309| train_mse: 699.23711| valid_rmsle: 0.50495 | valid_mae: 24.27605| valid_rmse: 25.40511| valid_mse: 645.41969|  0:00:08s
epoch 74 | loss: 480.84567| train_rmsle: 0.50307 | train_mae: 24.23312| train_rmse: 25.35809| train_mse: 643.03277| valid_rmsle: 0.47303 | valid_mae: 22.97436| valid_rmse: 24.20215| valid_mse: 585.74412|  0:00:08s
epoch 75 | loss: 451.44199| train_rmsle: 0.47422 | train_mae: 23.08325| train_rmse: 24.25532| train_mse: 588.32041| valid_rmsle: 0.44631 | valid_mae: 21.85192| valid_rmse: 23.18711| valid_mse: 537.64228|  0:00:08s
